weekday,sentiment_score
Friday,-0.037704591847349284
Monday,-0.049908376997865905
Saturday,-0.14374263959357253
Sunday,-0.12261527371822775
Thursday,0.0009867557811998448
Tuesday,-0.05786350369920872
Wednesday,-0.09887353818314633
