period,average_sentiment,median_sentiment,tweet_count
Apr-Jun 2020,-0.4038312591146678,-0.4436485869809985,3
Apr-Jun 2021,-0.0873254563016817,-0.024785412475466728,1000
Aug-Sep 2020,-0.16424857452511787,-0.10800604149699211,3
