date,average_sentiment,tweet_count
2021-04-26,-0.027664740077363185,130
2021-04-27,0.6468302303692326,5
2021-04-28,-0.09929311356663836,113
2021-04-29,0.038394488640026085,27
2021-04-30,-0.12692637483604133,63
2021-05-01,-0.18388226122284929,60
2021-05-03,-0.04131221001320597,59
2021-05-04,-0.13294605521174768,105
2021-05-05,-0.06765867052941799,177
2021-05-07,-0.07192352384821896,170
2021-05-08,-0.12755370973168897,185
2021-05-09,-0.0673388681401882,34
2021-05-10,-0.13164069563359151,29
2021-05-11,-0.16941946934509491,14
2021-05-13,-0.031502337858794215,47
2021-05-14,-0.02987516655802454,164
2021-05-15,-0.11810107413874639,31
2021-05-16,-0.08174464540333366,92
2021-05-18,-0.07387391756055876,140
2021-05-19,-0.08143257215582081,151
2021-05-20,0.08134232764132321,13
2021-05-21,-0.0014536900165747256,138
2021-05-23,-0.15130593527667224,125
2021-05-25,-0.029160364839616558,258
2021-05-26,-0.13868102380373062,195
2021-05-27,-0.0046264763495468715,94
2021-05-28,0.0028501968544263107,130
2021-05-29,-0.16402316404144382,90
2021-05-30,-0.13594750034042283,154
2021-06-01,0.70016736863181,1
2021-06-02,-0.44761926867067814,1
2021-06-07,-0.3731445260345936,1
2021-06-11,-0.1582865547388792,1
2021-06-14,-0.7552816392853856,1
2021-06-19,-0.05382097139954567,1
2021-06-26,0.21011963672935963,1
